MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,FeatureSetup,Purpose,RepresentationStage,Representation,ImbalanceStage,ClassBalance,Model,Evaluation,Fold,Threshold,HeldOutDrug
0.30058280350912525,0.29959514170040485,0.185,0.7597222222222222,0.7872340425531915,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.05,
0.3386784381248812,0.36363636363636365,0.2542372881355932,0.8541666666666666,0.6382978723404256,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.1,
0.36764013674138357,0.4,0.3010752688172043,0.8833333333333333,0.5957446808510638,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.15,
0.36172588945334255,0.40336134453781514,0.3333333333333333,0.9013888888888889,0.5106382978723404,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.2,
0.3638114240282662,0.4074074074074074,0.36065573770491804,0.9111111111111111,0.46808510638297873,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.25,
0.3480575391250202,0.3917525773195876,0.38,0.9180555555555555,0.40425531914893614,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.3,
0.3918007627489877,0.41975308641975306,0.5,0.9347222222222222,0.3617021276595745,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.35,
0.33258085135789806,0.35135135135135137,0.48148148148148145,0.9333333333333333,0.2765957446808511,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.4,
0.3316919592945556,0.3283582089552239,0.55,0.9375,0.23404255319148937,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.45,
0.2597573446830278,0.23333333333333334,0.5384615384615384,0.9361111111111111,0.14893617021276595,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.5,
0.18654897758039202,0.14545454545454545,0.5,0.9347222222222222,0.0851063829787234,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.55,
0.20302999905339306,0.14814814814814814,0.5714285714285714,0.9361111111111111,0.0851063829787234,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.6,
0.07019430807865726,0.04,0.3333333333333333,0.9333333333333333,0.02127659574468085,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.65,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.7,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.75,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.8,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.85,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8473807340899749,0.3630025475156363,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,1,0.9,
0.30446287284807894,0.30327868852459017,0.18781725888324874,0.7638888888888888,0.7872340425531915,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.05,
0.36451440152008224,0.3793103448275862,0.25984251968503935,0.85,0.7021276595744681,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.1,
0.39921134889066706,0.42962962962962964,0.32954545454545453,0.8930555555555556,0.6170212765957447,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.15,
0.3606945183899862,0.40404040404040403,0.38461538461538464,0.9180555555555555,0.425531914893617,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.2,
0.3714180311591742,0.40476190476190477,0.4594594594594595,0.9305555555555556,0.3617021276595745,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.25,
0.35400862637352426,0.37333333333333335,0.5,0.9347222222222222,0.2978723404255319,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.3,
0.3777816801408636,0.37681159420289856,0.5909090909090909,0.9402777777777778,0.2765957446808511,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.35,
0.379747754653009,0.3492063492063492,0.6875,0.9430555555555555,0.23404255319148937,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.4,
0.3169607088514467,0.2711864406779661,0.6666666666666666,0.9402777777777778,0.1702127659574468,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.45,
0.2938295397671989,0.21818181818181817,0.75,0.9402777777777778,0.1276595744680851,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.5,
0.2231813779162153,0.1509433962264151,0.6666666666666666,0.9375,0.0851063829787234,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.55,
0.18102403861275446,0.11538461538461539,0.6,0.9361111111111111,0.06382978723404255,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.6,
0.13154106719509903,0.0784313725490196,0.5,0.9347222222222222,0.0425531914893617,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.65,
0.09288394490274274,0.04081632653061224,0.5,0.9347222222222222,0.02127659574468085,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.7,
0.0,0.0,0.0,0.9347222222222222,0.0,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.75,
0.0,0.0,0.0,0.9347222222222222,0.0,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.8,
0.0,0.0,0.0,0.9347222222222222,0.0,0.871455217982359,0.41012956661447963,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,CV,2,0.85,
