Evaluation,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,C1,C1_morgan_only,B5,B5_class_weight_threshold_tuning,0.6,0.2891,0.1483,0.2161,0.1116,0.7333,0.3702,0.9403,0.0088,0.1289,0.0683,0.8874,0.0634,0.4508,0.0975
CV,C1,C1_morgan_only,B5,B5_class_weight_threshold_tuning,0.65,0.1582,0.186,0.1127,0.1296,0.45,0.4972,0.9368,0.0089,0.0656,0.0771,0.8874,0.0634,0.4508,0.0975
CV,C1,C1_morgan_only,B5,B5_class_weight_threshold_tuning,0.7,0.0651,0.1547,0.0545,0.1227,0.15,0.3375,0.9354,0.0074,0.0333,0.075,0.8874,0.0634,0.4508,0.0975
CV,C1,C1_morgan_only,B5,B5_class_weight_threshold_tuning,0.75,0.0192,0.069,0.0182,0.0575,0.05,0.1581,0.934,0.0049,0.0111,0.0351,0.8874,0.0634,0.4508,0.0975
CV,C1,C1_morgan_only,B5,B5_class_weight_threshold_tuning,0.8,-0.0022,0.0068,0.0,0.0,0.0,0.0,0.934,0.0037,0.0,0.0,0.8874,0.0634,0.4508,0.0975
CV,C1,C1_morgan_only,B5,B5_class_weight_threshold_tuning,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8874,0.0634,0.4508,0.0975
CV,C1,C1_morgan_only,B5,B5_class_weight_threshold_tuning,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8874,0.0634,0.4508,0.0975
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.05,0.2892,0.0558,0.2794,0.0402,0.1684,0.0271,0.716,0.0427,0.8389,0.1277,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.1,0.359,0.0461,0.3609,0.0399,0.2383,0.0352,0.8208,0.0338,0.7667,0.1085,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.15,0.3856,0.0715,0.4049,0.0571,0.2946,0.051,0.8708,0.0243,0.6722,0.1423,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.2,0.3284,0.0933,0.3665,0.0751,0.293,0.0556,0.8882,0.0144,0.51,0.1765,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.25,0.3054,0.0815,0.3511,0.0771,0.3109,0.0675,0.9014,0.0138,0.4144,0.1102,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.3,0.2528,0.1115,0.2962,0.1103,0.3071,0.1,0.9111,0.0134,0.2978,0.1293,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.35,0.2768,0.1088,0.3004,0.1061,0.403,0.1552,0.9243,0.0129,0.2567,0.1065,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.4,0.2724,0.1926,0.2698,0.1716,0.485,0.282,0.9319,0.0199,0.1944,0.135,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.45,0.3001,0.1847,0.274,0.1608,0.5833,0.3043,0.9382,0.0141,0.1833,0.1153,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.5,0.3142,0.1491,0.251,0.1419,0.75,0.3333,0.9403,0.0099,0.1622,0.1083,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.55,0.321,0.1473,0.2535,0.1433,0.7667,0.3235,0.9417,0.0082,0.1622,0.1083,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.6,0.3054,0.1365,0.2274,0.1236,0.7917,0.3316,0.941,0.0075,0.14,0.0906,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.65,0.21,0.1988,0.1692,0.1684,0.4917,0.4521,0.9389,0.0079,0.1078,0.115,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.7,0.1295,0.1969,0.1064,0.1643,0.3,0.4216,0.9368,0.0095,0.0667,0.1073,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.75,0.1054,0.1458,0.0764,0.0988,0.3,0.4216,0.9354,0.0066,0.0444,0.0574,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.8,0.0972,0.1564,0.06,0.0966,0.3,0.483,0.9368,0.0061,0.0333,0.0537,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.85,0.0324,0.1024,0.02,0.0632,0.1,0.3162,0.9354,0.0047,0.0111,0.0351,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B4,B4_threshold_tuning_only,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8541,0.0625,0.4039,0.1041
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.05,0.3157,0.0746,0.308,0.0551,0.1909,0.0382,0.7576,0.0421,0.8189,0.1462,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.1,0.3425,0.0789,0.36,0.0679,0.2476,0.0547,0.8403,0.0327,0.68,0.1274,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.15,0.3425,0.0748,0.3763,0.0626,0.2881,0.0593,0.8778,0.0237,0.5644,0.1374,0.8464,0.0604,0.3934,0.1126
