,mean,std
MCC,0.2825,0.2261
F1,0.2863,0.2127
Precision,0.3326,0.299
Accuracy,0.9097,0.0452
Recall,0.3838,0.3322
AUROC,0.8055,0.1506
AUPRC,0.4547,0.2486
