MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,HeldOutDrug
0.17387722105220368,0.15384615384615385,0.5,0.8777777777777778,0.09090909090909091,0.6323360184119677,0.22912745535328266,Atovaquone
0.4370483222197017,0.3333333333333333,1.0,0.9555555555555556,0.2,0.8858823529411765,0.5304615384615385,Chlorpromazine_Hcl
0.39192475766909796,0.4,0.5,0.9666666666666667,0.3333333333333333,0.9233716475095785,0.3333333333333333,Clofazimine
-0.01598006930251483,0.0,0.0,0.9666666666666667,0.0,0.5170454545454545,0.2611111111111111,Curcumine
0.20100756305184242,0.18181818181818182,0.5,0.9,0.1111111111111111,0.6694101508916325,0.20908295646635802,Econazole
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.831764705882353,0.3793074849678624,Etravirine
0.40400883715070857,0.3076923076923077,1.0,0.9,0.18181818181818182,0.8532796317606445,0.6813506582856428,Fulvestrant
0.0,0.0,0.0,0.9777777777777777,0.0,,,Gefitinib
0.5191151312382635,0.4444444444444444,1.0,0.9444444444444444,0.2857142857142857,0.9561101549053357,0.7612815755672897,Lumefantrine
0.27326786250001056,0.17391304347826086,1.0,0.7888888888888889,0.09523809523809523,0.5948930296756383,0.3384157967007862,Nelfinavir
-0.022727272727272728,0.0,0.0,0.9555555555555556,0.0,0.8153409090909091,0.08116883116883117,Physcion
0.0,0.0,0.0,0.9777777777777777,0.0,,,Pranlukast
0.8118441408859887,0.8,1.0,0.9888888888888889,0.6666666666666666,1.0,1.0,Rapamycin
0.39661488976905146,0.2857142857142857,1.0,0.9444444444444444,0.16666666666666666,0.7797619047619048,0.4327020202020202,Rilpivirine
0.339364905854808,0.2222222222222222,1.0,0.9222222222222223,0.125,0.8285060975609756,0.6288465007215007,Sorafenib
0.7031230493106524,0.6666666666666666,0.5,0.9888888888888889,1.0,0.9887640449438202,0.5,Taxol
