,mean,std
MCC,0.3066,0.2492
F1,0.266,0.2332
Precision,0.5938,0.4171
Accuracy,0.9375,0.0515
Recall,0.216,0.2679
AUROC,0.8055,0.1506
AUPRC,0.4547,0.2486
