MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9197530864197531,0.43953638953638957
0.32387513781564786,0.2,1.0,0.9444444444444444,0.1111111111111111,0.7641975308641975,0.28138863455080104
0.30550504633038933,0.3076923076923077,0.5,0.9375,0.2222222222222222,0.9053497942386831,0.4542671835759393
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9436213991769548,0.5857473544973545
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9082304526748971,0.5610316992500901
0.36406772895810957,0.3333333333333333,0.6666666666666666,0.9444444444444444,0.2222222222222222,0.8189300411522633,0.3671852235258032
0.30611483744878115,0.18181818181818182,1.0,0.9375,0.1,0.842910447761194,0.4236269644334161
0.434433417644404,0.3333333333333333,1.0,0.9444444444444444,0.2,0.9033582089552239,0.5669361962229609
0.3426866003587208,0.3076923076923077,0.6666666666666666,0.9375,0.2,0.762686567164179,0.4217863053698967
-0.03242040430182119,0.0,0.0,0.9166666666666666,0.0,0.8861940298507464,0.3076648025177437
