Evaluation,Stage,Method,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,B5,B5_class_weight_threshold_tuning,0.4,0.2993,0.1127,0.297,0.1222,0.5017,0.1316,0.9347,0.0075,0.2256,0.1225,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.45,0.3329,0.1668,0.2797,0.1557,0.7167,0.322,0.9424,0.0087,0.1822,0.1138,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.5,0.2886,0.1789,0.2335,0.164,0.6667,0.3909,0.941,0.0082,0.1511,0.1192,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.55,0.2542,0.1974,0.2037,0.1672,0.5917,0.4417,0.9403,0.0082,0.1289,0.1136,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.6,0.1951,0.1831,0.1442,0.1392,0.5167,0.4743,0.9382,0.0076,0.0867,0.0871,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.65,0.136,0.1531,0.0945,0.0999,0.4,0.4595,0.9361,0.0064,0.0544,0.0575,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.7,0.1469,0.163,0.0964,0.1018,0.45,0.4972,0.9368,0.0069,0.0544,0.0575,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.75,0.0516,0.1178,0.0382,0.0806,0.15,0.3375,0.9347,0.0059,0.0222,0.0468,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.8,0.0324,0.1024,0.02,0.0632,0.1,0.3162,0.9354,0.0047,0.0111,0.0351,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8704,0.0552,0.4378,0.0871
CV,B5,B5_class_weight_threshold_tuning,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8704,0.0552,0.4378,0.0871
LOGO,A0,A0_no_imbalance,0.2,0.2825,0.2261,0.2863,0.2127,0.3326,0.299,0.9097,0.0452,0.3838,0.3322,0.8055,0.1506,0.4547,0.2486
LOGO,A0,A0_no_imbalance,0.5,0.3066,0.2492,0.266,0.2332,0.5938,0.4171,0.9375,0.0515,0.216,0.2679,0.8055,0.1506,0.4547,0.2486
LOGO,B1,B1_class_weight,0.2,0.267,0.2374,0.2921,0.2121,0.2741,0.2287,0.8896,0.06,0.4054,0.3336,0.8306,0.1224,0.4472,0.2206
LOGO,B1,B1_class_weight,0.5,0.3262,0.2228,0.2911,0.2078,0.5938,0.375,0.9375,0.0516,0.2389,0.2512,0.8306,0.1224,0.4472,0.2206
LOGO,B2,B2_random_oversampling,0.2,0.2519,0.1941,0.2675,0.1793,0.212,0.1676,0.8514,0.0559,0.5225,0.3469,0.8271,0.133,0.4475,0.2224
LOGO,B2,B2_random_oversampling,0.5,0.319,0.2431,0.3048,0.2226,0.4865,0.3736,0.9299,0.0536,0.2988,0.2861,0.8271,0.133,0.4475,0.2224
LOGO,B3,B3_smote,0.2,0.2206,0.1603,0.2295,0.1462,0.1697,0.1177,0.809,0.0528,0.5662,0.3835,0.8177,0.1396,0.4439,0.2301
LOGO,B3,B3_smote,0.5,0.3006,0.2326,0.2941,0.2152,0.45,0.3451,0.9299,0.0525,0.2837,0.268,0.8177,0.1396,0.4439,0.2301
LOGO,B4,B4_threshold_tuning_only,0.05,0.2055,0.1584,0.2159,0.1479,0.1461,0.1054,0.7222,0.0763,0.6457,0.3757,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.1,0.2294,0.1961,0.2439,0.1941,0.1978,0.1814,0.8292,0.0678,0.5213,0.3556,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.15,0.2382,0.1941,0.2564,0.1835,0.2491,0.2091,0.8806,0.0503,0.402,0.3318,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.2,0.2825,0.2261,0.2863,0.2127,0.3326,0.299,0.9097,0.0452,0.3838,0.3322,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.25,0.2877,0.2615,0.2855,0.2465,0.4094,0.3647,0.9215,0.0509,0.3102,0.3097,0.8055,0.1506,0.4547,0.2486
