MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,Stage,Method,Evaluation,Fold,Threshold,ClassWeight,Sampler,ThresholdMode,HeldOutDrug
0.28888888888888886,0.3333333333333333,0.3333333333333333,0.9166666666666666,0.3333333333333333,0.9197530864197531,0.43953638953638957,A0,A0_no_imbalance,CV,1,0.2,none,none,fixed,
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9197530864197531,0.43953638953638957,A0,A0_no_imbalance,CV,1,0.5,none,none,fixed,
0.26117157449298234,0.3076923076923077,0.23529411764705882,0.875,0.4444444444444444,0.7641975308641975,0.28138863455080104,A0,A0_no_imbalance,CV,2,0.2,none,none,fixed,
0.32387513781564786,0.2,1.0,0.9444444444444444,0.1111111111111111,0.7641975308641975,0.28138863455080104,A0,A0_no_imbalance,CV,2,0.5,none,none,fixed,
0.31909295994661596,0.36363636363636365,0.3076923076923077,0.9027777777777778,0.4444444444444444,0.9053497942386831,0.4542671835759393,A0,A0_no_imbalance,CV,3,0.2,none,none,fixed,
0.30550504633038933,0.3076923076923077,0.5,0.9375,0.2222222222222222,0.9053497942386831,0.4542671835759393,A0,A0_no_imbalance,CV,3,0.5,none,none,fixed,
0.5096367047620117,0.5185185185185185,0.3888888888888889,0.9097222222222222,0.7777777777777778,0.9436213991769548,0.5857473544973545,A0,A0_no_imbalance,CV,4,0.2,none,none,fixed,
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9436213991769548,0.5857473544973545,A0,A0_no_imbalance,CV,4,0.5,none,none,fixed,
0.30261376633440124,0.34782608695652173,0.2857142857142857,0.8958333333333334,0.4444444444444444,0.9082304526748971,0.5610316992500901,A0,A0_no_imbalance,CV,5,0.2,none,none,fixed,
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9082304526748971,0.5610316992500901,A0,A0_no_imbalance,CV,5,0.5,none,none,fixed,
0.33734954246999327,0.38095238095238093,0.3333333333333333,0.9097222222222222,0.4444444444444444,0.8189300411522633,0.3671852235258032,A0,A0_no_imbalance,CV,6,0.2,none,none,fixed,
0.36406772895810957,0.3333333333333333,0.6666666666666666,0.9444444444444444,0.2222222222222222,0.8189300411522633,0.3671852235258032,A0,A0_no_imbalance,CV,6,0.5,none,none,fixed,
0.43566760954221007,0.47619047619047616,0.45454545454545453,0.9236111111111112,0.5,0.842910447761194,0.4236269644334161,A0,A0_no_imbalance,CV,7,0.2,none,none,fixed,
0.30611483744878115,0.18181818181818182,1.0,0.9375,0.1,0.842910447761194,0.4236269644334161,A0,A0_no_imbalance,CV,7,0.5,none,none,fixed,
0.43566760954221007,0.47619047619047616,0.45454545454545453,0.9236111111111112,0.5,0.9033582089552239,0.5669361962229609,A0,A0_no_imbalance,CV,8,0.2,none,none,fixed,
0.434433417644404,0.3333333333333333,1.0,0.9444444444444444,0.2,0.9033582089552239,0.5669361962229609,A0,A0_no_imbalance,CV,8,0.5,none,none,fixed,
0.3380419915627369,0.38461538461538464,0.3125,0.8888888888888888,0.5,0.762686567164179,0.4217863053698967,A0,A0_no_imbalance,CV,9,0.2,none,none,fixed,
0.3426866003587208,0.3076923076923077,0.6666666666666666,0.9375,0.2,0.762686567164179,0.4217863053698967,A0,A0_no_imbalance,CV,9,0.5,none,none,fixed,
0.3923576976430904,0.42857142857142855,0.3333333333333333,0.8888888888888888,0.6,0.8861940298507464,0.3076648025177437,A0,A0_no_imbalance,CV,10,0.2,none,none,fixed,
-0.03242040430182119,0.0,0.0,0.9166666666666666,0.0,0.8861940298507464,0.3076648025177437,A0,A0_no_imbalance,CV,10,0.5,none,none,fixed,
0.0841334546665505,0.13333333333333333,0.25,0.8555555555555555,0.09090909090909091,0.6323360184119677,0.22912745535328266,A0,A0_no_imbalance,LOGO,1,0.2,none,none,fixed,Atovaquone
0.17387722105220368,0.15384615384615385,0.5,0.8777777777777778,0.09090909090909091,0.6323360184119677,0.22912745535328266,A0,A0_no_imbalance,LOGO,1,0.5,none,none,fixed,Atovaquone
0.2651439066774996,0.3076923076923077,0.25,0.9,0.4,0.8858823529411765,0.5304615384615385,A0,A0_no_imbalance,LOGO,2,0.2,none,none,fixed,Chlorpromazine_Hcl
0.4370483222197017,0.3333333333333333,1.0,0.9555555555555556,0.2,0.8858823529411765,0.5304615384615385,A0,A0_no_imbalance,LOGO,2,0.5,none,none,fixed,Chlorpromazine_Hcl
0.4083088605285075,0.4,0.2857142857142857,0.9333333333333333,0.6666666666666666,0.9233716475095785,0.3333333333333333,A0,A0_no_imbalance,LOGO,3,0.2,none,none,fixed,Clofazimine
0.39192475766909796,0.4,0.5,0.9666666666666667,0.3333333333333333,0.9233716475095785,0.3333333333333333,A0,A0_no_imbalance,LOGO,3,0.5,none,none,fixed,Clofazimine
0.2618924633082486,0.25,0.16666666666666666,0.9333333333333333,0.5,0.5170454545454545,0.2611111111111111,A0,A0_no_imbalance,LOGO,4,0.2,none,none,fixed,Curcumine
-0.01598006930251483,0.0,0.0,0.9666666666666667,0.0,0.5170454545454545,0.2611111111111111,A0,A0_no_imbalance,LOGO,4,0.5,none,none,fixed,Curcumine
0.059391387091649865,0.13333333333333333,0.16666666666666666,0.8555555555555555,0.1111111111111111,0.6694101508916325,0.20908295646635802,A0,A0_no_imbalance,LOGO,5,0.2,none,none,fixed,Econazole
0.20100756305184242,0.18181818181818182,0.5,0.9,0.1111111111111111,0.6694101508916325,0.20908295646635802,A0,A0_no_imbalance,LOGO,5,0.5,none,none,fixed,Econazole
0.2918001232638926,0.3333333333333333,0.2857142857142857,0.9111111111111111,0.4,0.831764705882353,0.3793074849678624,A0,A0_no_imbalance,LOGO,6,0.2,none,none,fixed,Etravirine
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.831764705882353,0.3793074849678624,A0,A0_no_imbalance,LOGO,6,0.5,none,none,fixed,Etravirine
0.5802378669525132,0.5882352941176471,0.8333333333333334,0.9222222222222223,0.45454545454545453,0.8532796317606445,0.6813506582856428,A0,A0_no_imbalance,LOGO,7,0.2,none,none,fixed,Fulvestrant
0.40400883715070857,0.3076923076923077,1.0,0.9,0.18181818181818182,0.8532796317606445,0.6813506582856428,A0,A0_no_imbalance,LOGO,7,0.5,none,none,fixed,Fulvestrant
0.0,0.0,0.0,0.9333333333333333,0.0,,,A0,A0_no_imbalance,LOGO,8,0.2,none,none,fixed,Gefitinib
0.0,0.0,0.0,0.9777777777777777,0.0,,,A0,A0_no_imbalance,LOGO,8,0.5,none,none,fixed,Gefitinib
