,mean,std
MCC,0.362,0.0786
F1,0.4018,0.07
Precision,0.3439,0.0702
Accuracy,0.9035,0.0162
Recall,0.4989,0.1189
AUROC,0.8655,0.0648
AUPRC,0.4409,0.1058
Fold,5.5,3.0277
