DRUG,EXCIPIENT,SOURCE,PROBABILITY
Sorafenib,Glycocholic_acid,GRAS_IIG,0.892
Fulvestrant,Glycocholic_acid,GRAS_IIG,0.882
Fulvestrant,Vitamin_A_palmitate,GRAS_IIG,0.852
Fulvestrant,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.824
Sorafenib,Taurocholic_acid,GRAS_IIG,0.81
Sorafenib,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.792
Fulvestrant,Taurocholic_acid,GRAS_IIG,0.79
Nelfinavir,Carbamazepine,APPROVED_DRUGBANK,0.776
Sorafenib,Cholic Acid,APPROVED_DRUGBANK,0.774
Sorafenib,Cholic_acid,GRAS_IIG,0.774
Fulvestrant,Cholic Acid,APPROVED_DRUGBANK,0.764
Fulvestrant,Cholic_acid,GRAS_IIG,0.764
Nelfinavir,CAPTAN,GRAS_IIG,0.76
Sorafenib,Indomethacin,APPROVED_DRUGBANK,0.76
Lumefantrine,Indomethacin,APPROVED_DRUGBANK,0.756
Nelfinavir,Risperidone,APPROVED_DRUGBANK,0.754
Clofazimine,Indomethacin,APPROVED_DRUGBANK,0.742
Nelfinavir,Desipramine,APPROVED_DRUGBANK,0.742
Lumefantrine,Glycocholic_acid,GRAS_IIG,0.74
Lumefantrine,Vitamin_A_palmitate,GRAS_IIG,0.74
Fulvestrant,Carotene_(beta-carotene),GRAS_IIG,0.726
Fulvestrant,Deoxycholic Acid,APPROVED_DRUGBANK,0.726
Fulvestrant,Desoxycholic_acid,GRAS_IIG,0.726
Nelfinavir,Piroxicam,APPROVED_DRUGBANK,0.726
Nelfinavir,Prednisone,APPROVED_DRUGBANK,0.726
Econazole,Budesonide,APPROVED_DRUGBANK,0.724
Nelfinavir,Labetalol,APPROVED_DRUGBANK,0.724
Sirolimus,Vitamin_A_palmitate,GRAS_IIG,0.724
Atovaquone,Vitamin_A_palmitate,GRAS_IIG,0.722
Nelfinavir,L-Lysine,APPROVED_DRUGBANK,0.722
Nelfinavir,LYSINE,GRAS_IIG,0.722
Nelfinavir,NEOTAME,GRAS_IIG,0.722
Etravirine,Indomethacin,APPROVED_DRUGBANK,0.72
Lumefantrine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.714
Nelfinavir,Tenofovir alafenamide,APPROVED_DRUGBANK,0.714
Regorafenib,Glycocholic_acid,GRAS_IIG,0.714
Nelfinavir,Fluconazole,APPROVED_DRUGBANK,0.712
Nelfinavir,LYSINE_ACETATE,GRAS_IIG,0.702
Nelfinavir,LYSINE_MONOHYDRATE,GRAS_IIG,0.702
Nelfinavir,TRIACETIN,GRAS_IIG,0.7
Sorafenib,Deoxycholic Acid,APPROVED_DRUGBANK,0.7
Sorafenib,Desoxycholic_acid,GRAS_IIG,0.7
Fulvestrant,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.698
Fulvestrant,Vitamin_A_acetate,GRAS_IIG,0.698
Atovaquone,Risperidone,APPROVED_DRUGBANK,0.696
Nelfinavir,Hydrochlorothiazide,APPROVED_DRUGBANK,0.694
Sorafenib,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.694
Econazole,Tenofovir alafenamide,APPROVED_DRUGBANK,0.692
Rilpivirine,Vitamin_A_palmitate,GRAS_IIG,0.69
Nelfinavir,Methotrexate,APPROVED_DRUGBANK,0.686
Chlorpromazine,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.684
Atovaquone,Budesonide,APPROVED_DRUGBANK,0.678
Chlorpromazine,Glycocholic_acid,GRAS_IIG,0.678
Econazole,Mebendazole,APPROVED_DRUGBANK,0.672
Nelfinavir,L-Proline,APPROVED_DRUGBANK,0.672
Nelfinavir,PROLINE,GRAS_IIG,0.672
Econazole,NEOTAME,GRAS_IIG,0.666
Atovaquone,DIBUTYL_PHTHALATE_**See_CDER_Guidance:_Limiting_the_Use_of_Certain_Phthalates_as_Excipients_in_CDER-Regulated_Products,GRAS_IIG,0.664
Rilpivirine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.662
Fulvestrant,Alitretinoin,APPROVED_DRUGBANK,0.658
Fulvestrant,Isotretinoin,APPROVED_DRUGBANK,0.658
Fulvestrant,Tretinoin,APPROVED_DRUGBANK,0.658
Fulvestrant,Vitamin A,APPROVED_DRUGBANK,0.658
Fulvestrant,Vitamin_A,GRAS_IIG,0.658
Rilpivirine,Dexketoprofen,APPROVED_DRUGBANK,0.648
Rilpivirine,Ketoprofen,APPROVED_DRUGBANK,0.648
Regorafenib,Indomethacin,APPROVED_DRUGBANK,0.646
Fulvestrant,ANETHOLE,GRAS_IIG,0.642
Regorafenib,Taurocholic_acid,GRAS_IIG,0.642
Fulvestrant,Thiodipropionic_acid,GRAS_IIG,0.64
Atovaquone,Propranolol,APPROVED_DRUGBANK,0.638
Etravirine,Budesonide,APPROVED_DRUGBANK,0.638
Atovaquone,Desipramine,APPROVED_DRUGBANK,0.636
Nelfinavir,Memantine,APPROVED_DRUGBANK,0.636
Econazole,Omeprazole,APPROVED_DRUGBANK,0.632
Regorafenib,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.63
Clofazimine,Mebendazole,APPROVED_DRUGBANK,0.628
Econazole,Methotrexate,APPROVED_DRUGBANK,0.626
Everolimus,Vitamin_A_palmitate,GRAS_IIG,0.626
Nelfinavir,Metoprolol,APPROVED_DRUGBANK,0.626
Temsirolimus,Vitamin_A_palmitate,GRAS_IIG,0.626
Etravirine,Carbamazepine,APPROVED_DRUGBANK,0.622
Etravirine,Carotene_(beta-carotene),GRAS_IIG,0.62
Levonordefrin,Indomethacin,APPROVED_DRUGBANK,0.616
Lumefantrine,ANETHOLE,GRAS_IIG,0.612
Atovaquone,BENZOYL_PEROXIDE,GRAS_IIG,0.606
Atovaquone,Benzoyl peroxide,APPROVED_DRUGBANK,0.606
Probucol,Indomethacin,APPROVED_DRUGBANK,0.606
Econazole,LEVOMENTHOL,GRAS_IIG,0.604
Econazole,"MENTHOL,_UNSPECIFIED_FORM",GRAS_IIG,0.604
Econazole,Menthol,APPROVED_DRUGBANK,0.604
Ammonium lactate,Indomethacin,APPROVED_DRUGBANK,0.596
Etoricoxib,Indomethacin,APPROVED_DRUGBANK,0.594
Ammonia N-13,Indomethacin,APPROVED_DRUGBANK,0.592
Celecoxib,Indomethacin,APPROVED_DRUGBANK,0.59
Ferric pyrophosphate,Indomethacin,APPROVED_DRUGBANK,0.59
Aluminum hydroxide,Indomethacin,APPROVED_DRUGBANK,0.588
Fenofibrate,Indomethacin,APPROVED_DRUGBANK,0.588
Iron,Indomethacin,APPROVED_DRUGBANK,0.588
Lithium,Indomethacin,APPROVED_DRUGBANK,0.588
Manganese,Indomethacin,APPROVED_DRUGBANK,0.588
Prochlorperazine,Glycocholic_acid,GRAS_IIG,0.588
Sodium acetate,Indomethacin,APPROVED_DRUGBANK,0.588
Sodium fluoride,Indomethacin,APPROVED_DRUGBANK,0.588
Technetium Tc-99m sestamibi,Indomethacin,APPROVED_DRUGBANK,0.588
Zinc,Indomethacin,APPROVED_DRUGBANK,0.588
Copper,Indomethacin,APPROVED_DRUGBANK,0.586
Dipotassium phosphate,Indomethacin,APPROVED_DRUGBANK,0.586
Disodium phosphate,Indomethacin,APPROVED_DRUGBANK,0.586
Equilin,Vitamin_A_palmitate,GRAS_IIG,0.586
Nelfinavir,Esmolol,APPROVED_DRUGBANK,0.586
Potassium Iodide,Indomethacin,APPROVED_DRUGBANK,0.586
Prussian blue,Indomethacin,APPROVED_DRUGBANK,0.586
Sorafenib,Glycerin_and_Glycerides,GRAS_IIG,0.586
Xenon-133,Indomethacin,APPROVED_DRUGBANK,0.586
Clomipramine,Glycocholic_acid,GRAS_IIG,0.584
Helium,Indomethacin,APPROVED_DRUGBANK,0.584
Sodium Iodide I-131,Indomethacin,APPROVED_DRUGBANK,0.584
Technetium Tc 99m Oxidronate,Indomethacin,APPROVED_DRUGBANK,0.584
Technetium Tc-99m sodium pertechnetate,Indomethacin,APPROVED_DRUGBANK,0.584
Vismodegib,Indomethacin,APPROVED_DRUGBANK,0.584
Aluminium,Indomethacin,APPROVED_DRUGBANK,0.582
Docosanol,Indomethacin,APPROVED_DRUGBANK,0.582
Estrone,Vitamin_A_palmitate,GRAS_IIG,0.582
Gallium nitrate,Indomethacin,APPROVED_DRUGBANK,0.582
Lindane,Indomethacin,APPROVED_DRUGBANK,0.582
Monopotassium phosphate,Indomethacin,APPROVED_DRUGBANK,0.582
Potassium Chloride,Indomethacin,APPROVED_DRUGBANK,0.582
Regorafenib,Cholic Acid,APPROVED_DRUGBANK,0.582
Regorafenib,Cholic_acid,GRAS_IIG,0.582
Sodium Chloride,Indomethacin,APPROVED_DRUGBANK,0.582
Sodium Nitrite,Indomethacin,APPROVED_DRUGBANK,0.582
Thallous Chloride,Indomethacin,APPROVED_DRUGBANK,0.582
Nelfinavir,Alendronic acid,APPROVED_DRUGBANK,0.58
Choline C 11,Indomethacin,APPROVED_DRUGBANK,0.578
Chromic chloride,Indomethacin,APPROVED_DRUGBANK,0.578
Magnesium hydroxide,Indomethacin,APPROVED_DRUGBANK,0.578
Potassium alum,Indomethacin,APPROVED_DRUGBANK,0.578
Sodium sulfate,Indomethacin,APPROVED_DRUGBANK,0.578
Zinc sulfate,Indomethacin,APPROVED_DRUGBANK,0.578
Calcium Acetate,Indomethacin,APPROVED_DRUGBANK,0.576
Lanthanum carbonate,Indomethacin,APPROVED_DRUGBANK,0.576
Magnesium Trisilicate,Indomethacin,APPROVED_DRUGBANK,0.576
Nelfinavir,Imipramine,APPROVED_DRUGBANK,0.576
Calcium carbimide,Indomethacin,APPROVED_DRUGBANK,0.574
Fenoprofen,Indomethacin,APPROVED_DRUGBANK,0.574
Rimonabant,Indomethacin,APPROVED_DRUGBANK,0.574
Drostanolone,Vitamin_A_palmitate,GRAS_IIG,0.572
Calcium Chloride,Indomethacin,APPROVED_DRUGBANK,0.57
Droxidopa,Indomethacin,APPROVED_DRUGBANK,0.57
Tioconazole,Budesonide,APPROVED_DRUGBANK,0.57
Tolnaftate,Indomethacin,APPROVED_DRUGBANK,0.57
Calcium carbonate,Indomethacin,APPROVED_DRUGBANK,0.568
Ibutilide,Indomethacin,APPROVED_DRUGBANK,0.568
Magnesium Sulfate,Indomethacin,APPROVED_DRUGBANK,0.568
Paricalcitol,Vitamin_A_palmitate,GRAS_IIG,0.568
Sodium bicarbonate,Indomethacin,APPROVED_DRUGBANK,0.566
Disulfiram,Indomethacin,APPROVED_DRUGBANK,0.564
Bentoquatam,Indomethacin,APPROVED_DRUGBANK,0.562
Docosanol,Vitamin_A_palmitate,GRAS_IIG,0.562
Ferric Citrate,Indomethacin,APPROVED_DRUGBANK,0.562
Potassium Citrate,Indomethacin,APPROVED_DRUGBANK,0.562
Sodium Citrate,Indomethacin,APPROVED_DRUGBANK,0.562
Sodium aurothiomalate,Indomethacin,APPROVED_DRUGBANK,0.562
Carprofen,Indomethacin,APPROVED_DRUGBANK,0.56
Gentian Violet,Indomethacin,APPROVED_DRUGBANK,0.56
Nelfinavir,Atenolol,APPROVED_DRUGBANK,0.56
Trisodium citrate dihydrate,Indomethacin,APPROVED_DRUGBANK,0.56
Dienestrol,Indomethacin,APPROVED_DRUGBANK,0.558
Diethylstilbestrol,Vitamin_A_palmitate,GRAS_IIG,0.558
Lindane,Vitamin_A_palmitate,GRAS_IIG,0.558
Nelfinavir,Hydroflumethiazide,APPROVED_DRUGBANK,0.558
Regorafenib,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.556
Technetium Tc-99m tetrofosmin,Indomethacin,APPROVED_DRUGBANK,0.556
Carbachol,Indomethacin,APPROVED_DRUGBANK,0.554
Chlorhexidine,Indomethacin,APPROVED_DRUGBANK,0.554
Lodoxamide,Indomethacin,APPROVED_DRUGBANK,0.554
Miconazole,Budesonide,APPROVED_DRUGBANK,0.554
Nelfinavir,Paliperidone,APPROVED_DRUGBANK,0.554
Propofol,Indomethacin,APPROVED_DRUGBANK,0.554
Regorafenib,Deoxycholic Acid,APPROVED_DRUGBANK,0.554
Regorafenib,Desoxycholic_acid,GRAS_IIG,0.554
Silver sulfadiazine,Indomethacin,APPROVED_DRUGBANK,0.554
Ecamsule,Vitamin_A_palmitate,GRAS_IIG,0.552
Efavirenz,Vitamin_A_palmitate,GRAS_IIG,0.552
Prochlorperazine,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.552
Propofol,Vitamin_A_palmitate,GRAS_IIG,0.552
Sibutramine,Indomethacin,APPROVED_DRUGBANK,0.552
Technetium Tc-99m Medronate,Indomethacin,APPROVED_DRUGBANK,0.552
Calcium carbimide,Vitamin_A_palmitate,GRAS_IIG,0.55
Isoconazole,Budesonide,APPROVED_DRUGBANK,0.55
Cetrimonium,Indomethacin,APPROVED_DRUGBANK,0.548
Choline C 11,Vitamin_A_palmitate,GRAS_IIG,0.548
Econazole,Metoprolol,APPROVED_DRUGBANK,0.548
Levallorphan,Vitamin_A_palmitate,GRAS_IIG,0.548
Nelfinavir,Eslicarbazepine acetate,APPROVED_DRUGBANK,0.548
Nelfinavir,Meloxicam,APPROVED_DRUGBANK,0.548
Aluminum hydroxide,Vitamin_A_palmitate,GRAS_IIG,0.546
Ammonia N-13,Vitamin_A_palmitate,GRAS_IIG,0.546
Chlorothiazide,Indomethacin,APPROVED_DRUGBANK,0.546
Flutemetamol (18F),Indomethacin,APPROVED_DRUGBANK,0.546
Helium,Vitamin_A_palmitate,GRAS_IIG,0.546
Iron,Vitamin_A_palmitate,GRAS_IIG,0.546
Lithium,Vitamin_A_palmitate,GRAS_IIG,0.546
Manganese,Vitamin_A_palmitate,GRAS_IIG,0.546
Mitotane,Indomethacin,APPROVED_DRUGBANK,0.546
Perhexiline,Vitamin_A_palmitate,GRAS_IIG,0.546
Sodium Iodide I-131,Vitamin_A_palmitate,GRAS_IIG,0.546
Sodium Nitrite,Vitamin_A_palmitate,GRAS_IIG,0.546
Sodium fluoride,Vitamin_A_palmitate,GRAS_IIG,0.546
Technetium Tc-99m sodium pertechnetate,Vitamin_A_palmitate,GRAS_IIG,0.546
Zinc,Vitamin_A_palmitate,GRAS_IIG,0.546
Zolpidem,Indomethacin,APPROVED_DRUGBANK,0.546
Amodiaquine,Indomethacin,APPROVED_DRUGBANK,0.544
Copper,Vitamin_A_palmitate,GRAS_IIG,0.544
Calcium Chloride,Vitamin_A_palmitate,GRAS_IIG,0.542
Gadoversetamide,Indomethacin,APPROVED_DRUGBANK,0.542
Nabilone,Vitamin_A_palmitate,GRAS_IIG,0.542
Nelfinavir,L-Ornithine,APPROVED_DRUGBANK,0.542
Potassium Chloride,Vitamin_A_palmitate,GRAS_IIG,0.542
Potassium alum,Vitamin_A_palmitate,GRAS_IIG,0.542
Sodium Chloride,Vitamin_A_palmitate,GRAS_IIG,0.542
Sodium sulfate,Vitamin_A_palmitate,GRAS_IIG,0.542
Testosterone,Vitamin_A_palmitate,GRAS_IIG,0.542
Zinc sulfate,Vitamin_A_palmitate,GRAS_IIG,0.542
Aluminium,Vitamin_A_palmitate,GRAS_IIG,0.54
Gallium nitrate,Vitamin_A_palmitate,GRAS_IIG,0.54
Mesna,Indomethacin,APPROVED_DRUGBANK,0.54
Mifepristone,Vitamin_A_palmitate,GRAS_IIG,0.54
Nelfinavir,Candesartan,APPROVED_DRUGBANK,0.54
Xenon-133,Vitamin_A_palmitate,GRAS_IIG,0.54
Cetrimonium,Vitamin_A_palmitate,GRAS_IIG,0.538
Iohexol,Indomethacin,APPROVED_DRUGBANK,0.538
Magnesium hydroxide,Vitamin_A_palmitate,GRAS_IIG,0.538
Masoprocol,Indomethacin,APPROVED_DRUGBANK,0.538
Thallous Chloride,Vitamin_A_palmitate,GRAS_IIG,0.538
Aluminium monostearate,Indomethacin,APPROVED_DRUGBANK,0.536
Bromhexine,Indomethacin,APPROVED_DRUGBANK,0.536
Carbamazepine,Indomethacin,APPROVED_DRUGBANK,0.536
Dihomo-gamma-linolenic acid,Indomethacin,APPROVED_DRUGBANK,0.536
Etonogestrel,Vitamin_A_palmitate,GRAS_IIG,0.536
Lumefantrine,Taurocholic_acid,GRAS_IIG,0.536
Mefloquine,Indomethacin,APPROVED_DRUGBANK,0.536
Polaprezinc,Indomethacin,APPROVED_DRUGBANK,0.536
Prussian blue,Vitamin_A_palmitate,GRAS_IIG,0.536
Sapropterin,Indomethacin,APPROVED_DRUGBANK,0.536
Tizanidine,Indomethacin,APPROVED_DRUGBANK,0.536
Amiloride,Indomethacin,APPROVED_DRUGBANK,0.534
Bupranolol,Indomethacin,APPROVED_DRUGBANK,0.534
Calcium carbonate,Vitamin_A_palmitate,GRAS_IIG,0.534
Diatrizoate,Indomethacin,APPROVED_DRUGBANK,0.534
Dipotassium phosphate,Vitamin_A_palmitate,GRAS_IIG,0.534
Disodium phosphate,Vitamin_A_palmitate,GRAS_IIG,0.534
Hexafluronium,Vitamin_A_palmitate,GRAS_IIG,0.534
Kappadione,Indomethacin,APPROVED_DRUGBANK,0.534
Lumefantrine,Deoxycholic Acid,APPROVED_DRUGBANK,0.534
Lumefantrine,Desoxycholic_acid,GRAS_IIG,0.534
Magnesium Sulfate,Vitamin_A_palmitate,GRAS_IIG,0.534
Mangafodipir,Indomethacin,APPROVED_DRUGBANK,0.534
Nelfinavir,Tenoxicam,APPROVED_DRUGBANK,0.534
Nelfinavir,Voriconazole,APPROVED_DRUGBANK,0.534
Potassium Iodide,Vitamin_A_palmitate,GRAS_IIG,0.534
Technetium Tc 99m Mebrofenin,Indomethacin,APPROVED_DRUGBANK,0.534
Acetrizoic acid,Indomethacin,APPROVED_DRUGBANK,0.532
Desogestrel,Vitamin_A_palmitate,GRAS_IIG,0.532
Diethylstilbestrol,Indomethacin,APPROVED_DRUGBANK,0.532
Dihydrotachysterol,Vitamin_A_palmitate,GRAS_IIG,0.532
Etacrynic acid,Indomethacin,APPROVED_DRUGBANK,0.532
Icosapent,Indomethacin,APPROVED_DRUGBANK,0.532
Iodixanol,Indomethacin,APPROVED_DRUGBANK,0.532
Ioxilan,Indomethacin,APPROVED_DRUGBANK,0.532
Oleic Acid,Indomethacin,APPROVED_DRUGBANK,0.532
Polidocanol,Indomethacin,APPROVED_DRUGBANK,0.532
Calcium Gluceptate,Indomethacin,APPROVED_DRUGBANK,0.53
Cholic Acid,Vitamin_A_palmitate,GRAS_IIG,0.53
Chromic chloride,Vitamin_A_palmitate,GRAS_IIG,0.53
Ferric Citrate,Vitamin_A_palmitate,GRAS_IIG,0.53
Monopotassium phosphate,Vitamin_A_palmitate,GRAS_IIG,0.53
Nelfinavir,Lisinopril,APPROVED_DRUGBANK,0.53
Pamidronate,Indomethacin,APPROVED_DRUGBANK,0.53
Potassium Citrate,Vitamin_A_palmitate,GRAS_IIG,0.53
Sodium Citrate,Vitamin_A_palmitate,GRAS_IIG,0.53
Technetium Tc 99m Oxidronate,Vitamin_A_palmitate,GRAS_IIG,0.53
Trisodium citrate dihydrate,Vitamin_A_palmitate,GRAS_IIG,0.53
Cannabidiol,Vitamin_A_palmitate,GRAS_IIG,0.528
Haloprogin,Indomethacin,APPROVED_DRUGBANK,0.528
Iopamidol,Indomethacin,APPROVED_DRUGBANK,0.528
Oxymetholone,Vitamin_A_palmitate,GRAS_IIG,0.528
Sertaconazole,Budesonide,APPROVED_DRUGBANK,0.528
Triclosan,Indomethacin,APPROVED_DRUGBANK,0.528
Benzphetamine,Indomethacin,APPROVED_DRUGBANK,0.526
Fenoldopam,Vitamin_A_palmitate,GRAS_IIG,0.526
Florbetaben (18F),Indomethacin,APPROVED_DRUGBANK,0.526
Florbetapir (18F),Indomethacin,APPROVED_DRUGBANK,0.526
Nelfinavir,Betaxolol,APPROVED_DRUGBANK,0.526
Nelfinavir,Levobetaxolol,APPROVED_DRUGBANK,0.526
Rimexolone,Vitamin_A_palmitate,GRAS_IIG,0.526
Sodium acetate,Vitamin_A_palmitate,GRAS_IIG,0.526
Vitamin A,Vitamin_A_palmitate,GRAS_IIG,0.526
Zotepine,Indomethacin,APPROVED_DRUGBANK,0.526
Amfecloral,Indomethacin,APPROVED_DRUGBANK,0.524
Calcium Acetate,Vitamin_A_palmitate,GRAS_IIG,0.524
Deoxycholic Acid,Vitamin_A_palmitate,GRAS_IIG,0.524
Dipyridamole,Indomethacin,APPROVED_DRUGBANK,0.524
Levonordefrin,Vitamin_A_palmitate,GRAS_IIG,0.524
Nebivolol,Vitamin_A_palmitate,GRAS_IIG,0.524
Nelfinavir,Cyclothiazide,APPROVED_DRUGBANK,0.524
Phenoxybenzamine,Indomethacin,APPROVED_DRUGBANK,0.524
Sibutramine,Vitamin_A_palmitate,GRAS_IIG,0.524
Trichlormethiazide,Indomethacin,APPROVED_DRUGBANK,0.524
Bupivacaine,Vitamin_A_palmitate,GRAS_IIG,0.522
Dienestrol,Vitamin_A_palmitate,GRAS_IIG,0.522
Diiodohydroxyquinoline,Indomethacin,APPROVED_DRUGBANK,0.522
Lanthanum carbonate,Vitamin_A_palmitate,GRAS_IIG,0.522
Levobupivacaine,Vitamin_A_palmitate,GRAS_IIG,0.522
Quinagolide,Vitamin_A_palmitate,GRAS_IIG,0.522
Avobenzone,Indomethacin,APPROVED_DRUGBANK,0.52
Dienogest,Vitamin_A_palmitate,GRAS_IIG,0.52
Histamine Phosphate,Indomethacin,APPROVED_DRUGBANK,0.52
Sertraline,Vitamin_A_palmitate,GRAS_IIG,0.52
Tioconazole,Mebendazole,APPROVED_DRUGBANK,0.52
Trioxsalen,Indomethacin,APPROVED_DRUGBANK,0.52
Trypan blue,Indomethacin,APPROVED_DRUGBANK,0.52
Alpha-Linolenic Acid,Indomethacin,APPROVED_DRUGBANK,0.518
Bexarotene,Indomethacin,APPROVED_DRUGBANK,0.518
Doxercalciferol,Vitamin_A_palmitate,GRAS_IIG,0.518
Ecabet,Indomethacin,APPROVED_DRUGBANK,0.518
Ecabet,Vitamin_A_palmitate,GRAS_IIG,0.518
Ergocalciferol,Vitamin_A_palmitate,GRAS_IIG,0.518
Ethanolamine Oleate,Indomethacin,APPROVED_DRUGBANK,0.518
Nelfinavir,Clomipramine,APPROVED_DRUGBANK,0.518
Tioconazole,Tenofovir alafenamide,APPROVED_DRUGBANK,0.518
Ammonium lactate,Vitamin_A_palmitate,GRAS_IIG,0.516
Chloropyramine,Indomethacin,APPROVED_DRUGBANK,0.516
Dasabuvir,Indomethacin,APPROVED_DRUGBANK,0.516
Dextropropoxyphene,Indomethacin,APPROVED_DRUGBANK,0.516
Dextrothyroxine,Indomethacin,APPROVED_DRUGBANK,0.516
Levopropoxyphene,Indomethacin,APPROVED_DRUGBANK,0.516
Levothyroxine,Indomethacin,APPROVED_DRUGBANK,0.516
Liotrix,Indomethacin,APPROVED_DRUGBANK,0.516
Magnesium salicylate,Indomethacin,APPROVED_DRUGBANK,0.516
Probucol,Vitamin_A_palmitate,GRAS_IIG,0.516
Sodium bicarbonate,Vitamin_A_palmitate,GRAS_IIG,0.516
Atovaquone,Paliperidone,APPROVED_DRUGBANK,0.514
Bendamustine,Indomethacin,APPROVED_DRUGBANK,0.514
Diazepam,Indomethacin,APPROVED_DRUGBANK,0.514
Fluorometholone,Vitamin_A_palmitate,GRAS_IIG,0.514
Gadoteridol,Indomethacin,APPROVED_DRUGBANK,0.514
Methyltestosterone,Vitamin_A_palmitate,GRAS_IIG,0.514
Sapropterin,Vitamin_A_palmitate,GRAS_IIG,0.514
Alendronic acid,Indomethacin,APPROVED_DRUGBANK,0.512
Ambenonium,Indomethacin,APPROVED_DRUGBANK,0.512
Dipyridamole,Vitamin_A_palmitate,GRAS_IIG,0.512
Ezogabine,Indomethacin,APPROVED_DRUGBANK,0.512
Fludiazepam,Indomethacin,APPROVED_DRUGBANK,0.512
Mesna,Vitamin_A_palmitate,GRAS_IIG,0.512
Miconazole,Mebendazole,APPROVED_DRUGBANK,0.512
Nonoxynol-9,Indomethacin,APPROVED_DRUGBANK,0.512
Sodium Tetradecyl Sulfate,Indomethacin,APPROVED_DRUGBANK,0.512
Adefovir Dipivoxil,Indomethacin,APPROVED_DRUGBANK,0.51
Diphemanil Methylsulfate,Indomethacin,APPROVED_DRUGBANK,0.51
Disulfiram,Vitamin_A_palmitate,GRAS_IIG,0.51
Hexachlorophene,Indomethacin,APPROVED_DRUGBANK,0.51
Isoconazole,Mebendazole,APPROVED_DRUGBANK,0.51
Liothyronine,Indomethacin,APPROVED_DRUGBANK,0.51
Medrogestone,Vitamin_A_palmitate,GRAS_IIG,0.51
Rilpivirine,Deoxycholic Acid,APPROVED_DRUGBANK,0.51
Rilpivirine,Desoxycholic_acid,GRAS_IIG,0.51
Thimerosal,Indomethacin,APPROVED_DRUGBANK,0.51
Triamcinolone,Vitamin_A_palmitate,GRAS_IIG,0.51
Trisalicylate-choline,Indomethacin,APPROVED_DRUGBANK,0.51
Anisotropine Methylbromide,Vitamin_A_palmitate,GRAS_IIG,0.508
Azathioprine,Indomethacin,APPROVED_DRUGBANK,0.508
Aztreonam,Indomethacin,APPROVED_DRUGBANK,0.508
Carbidopa,Indomethacin,APPROVED_DRUGBANK,0.508
Cyproheptadine,Vitamin_A_palmitate,GRAS_IIG,0.508
Fenoterol,Vitamin_A_palmitate,GRAS_IIG,0.508
Nelfinavir,Lornoxicam,APPROVED_DRUGBANK,0.508
Polythiazide,Indomethacin,APPROVED_DRUGBANK,0.508
Alprazolam,Indomethacin,APPROVED_DRUGBANK,0.506
Chlorprothixene,Glycocholic_acid,GRAS_IIG,0.506
Clofedanol,Indomethacin,APPROVED_DRUGBANK,0.506
Levonorgestrel,Vitamin_A_palmitate,GRAS_IIG,0.506
Maprotiline,Vitamin_A_palmitate,GRAS_IIG,0.506
Midazolam,Indomethacin,APPROVED_DRUGBANK,0.506
Nelfinavir,Bisoprolol,APPROVED_DRUGBANK,0.506
Nelfinavir,Chlorothiazide,APPROVED_DRUGBANK,0.506
Alendronic acid,Vitamin_A_palmitate,GRAS_IIG,0.504
Aprindine,Indomethacin,APPROVED_DRUGBANK,0.504
Calcipotriol,Vitamin_A_palmitate,GRAS_IIG,0.504
Dydrogesterone,Vitamin_A_palmitate,GRAS_IIG,0.504
Etoricoxib,Vitamin_A_palmitate,GRAS_IIG,0.504
Hexachlorophene,Vitamin_A_palmitate,GRAS_IIG,0.504
Mefloquine,Vitamin_A_palmitate,GRAS_IIG,0.504
Miconazole,Tenofovir alafenamide,APPROVED_DRUGBANK,0.504
Rotigotine,Vitamin_A_palmitate,GRAS_IIG,0.504
Sertraline,Indomethacin,APPROVED_DRUGBANK,0.504
Sevelamer,Vitamin_A_palmitate,GRAS_IIG,0.504
Tamibarotene,Indomethacin,APPROVED_DRUGBANK,0.504
Tegafur-uracil,Vitamin_A_palmitate,GRAS_IIG,0.504
Bromhexine,Vitamin_A_palmitate,GRAS_IIG,0.502
Delorazepam,Indomethacin,APPROVED_DRUGBANK,0.502
Gadoxetic acid,Indomethacin,APPROVED_DRUGBANK,0.502
Glutathione,Indomethacin,APPROVED_DRUGBANK,0.502
Indecainide,Indomethacin,APPROVED_DRUGBANK,0.502
Sitaxentan,Indomethacin,APPROVED_DRUGBANK,0.502
Anisotropine Methylbromide,Indomethacin,APPROVED_DRUGBANK,0.5
Bepridil,Indomethacin,APPROVED_DRUGBANK,0.5
Conjugated Estrogens,Indomethacin,APPROVED_DRUGBANK,0.5
Icosapent,Vitamin_A_palmitate,GRAS_IIG,0.5
Metrizoic acid,Indomethacin,APPROVED_DRUGBANK,0.5
Nelfinavir,Methyclothiazide,APPROVED_DRUGBANK,0.5
Nelfinavir,Naproxen,APPROVED_DRUGBANK,0.5
Nelfinavir,Sotalol,APPROVED_DRUGBANK,0.5
