split,count,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
all,1440,0.04669305555555556,0.11209581817255579,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.114,0.198,0.6756599999999995,0.838
negative_class_0,1346,0.03722288261515602,0.08889380919354661,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.102,0.1575,0.45059999999999584,0.838
positive_class_1,94,0.18229787234042555,0.24427033462631473,0.0,0.0,0.0,0.0,0.015,0.065,0.20199999999999999,0.65,0.6895999999999999,0.7909399999999998,0.83
