split,count,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
all,1440,0.05569027777777777,0.10757463127692923,0.0,0.0,0.0,0.0,0.004,0.016,0.062,0.146,0.2361999999999998,0.6328799999999992,0.752
negative_class_0,1346,0.04688112927191679,0.0876455061902031,0.0,0.0,0.0,0.0,0.004,0.014,0.054,0.128,0.1935,0.44879999999999565,0.752
positive_class_1,94,0.18182978723404258,0.22418640791916758,0.0,0.0,0.0,0.002,0.0155,0.073,0.245,0.5960000000000001,0.6668,0.7002399999999998,0.73
