split,count,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
all,1440,0.05916388888888889,0.1287856350960726,0.0,0.0,0.0,0.0,0.0,0.008,0.05,0.162,0.31629999999999975,0.6957599999999984,0.868
negative_class_0,1346,0.04488261515601784,0.10242448547713606,0.0,0.0,0.0,0.0,0.0,0.008,0.038,0.118,0.225,0.55,0.868
positive_class_1,94,0.26365957446808513,0.24314913352042572,0.0,0.0,0.004600000000000002,0.025200000000000004,0.064,0.16999999999999998,0.452,0.6704000000000001,0.7394,0.8120999999999998,0.84
