split,count,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
all,1440,0.06554906054356119,0.14579962953619469,5.2675339907859156e-05,5.914840965264767e-05,8.077257553559347e-05,0.0003658654812978691,0.0015585138034494284,0.006032141726839266,0.05402707597528679,0.17991107951194904,0.36010898814328,0.7951789269274371,0.9603801560664048
negative_class_0,1346,0.05173244955554427,0.11918654573873093,5.2675339907859156e-05,5.8728110977617345e-05,7.848669279607403e-05,0.0003480842462669087,0.0013315061729171189,0.00477749130943249,0.04067428939301224,0.1507811027134407,0.2638650536894092,0.6612713342409715,0.9178291728425648
positive_class_1,94,0.2633911710741016,0.28348295153249375,8.814110114230655e-05,0.001642724494051201,0.005655362651461755,0.007415206836554743,0.033387332303531615,0.13433434251547,0.4189232239079287,0.785466859314574,0.8554248598538068,0.9468257338379621,0.9603801560664048
