split,count,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
all,1440,0.04804612562847118,0.10682201473465795,0.0009842386846448663,0.0009962941872744852,0.001179562363051954,0.0014525068132768216,0.0015836825133815585,0.0019744258725820137,0.04362365193249414,0.09746927150620693,0.19750344756858082,0.6802703179193189,0.756264615050997
negative_class_0,1346,0.03839859770381222,0.08231392036976865,0.0009842386846448663,0.0009958428857498383,0.0011754912819765886,0.0014490815135541446,0.0015779191844530998,0.0018982485661136646,0.04059904044395897,0.08678983114858707,0.14226746608830537,0.3015914480945625,0.756264615050997
positive_class_1,94,0.18619051484752394,0.23951774085315605,0.0009992350333361784,0.0013943667560235551,0.001533864554316982,0.0015709790845530197,0.03294838300289906,0.051465565528417176,0.21439130385115376,0.6352357026074916,0.6713180384997333,0.7121194660017224,0.7121279603158654
